DATA;LOTE/SUB/DOC/LINHA;HISTORICO;C/PARTIDA;FILIAL DE ORIGEM;C CUSTO;ITEM CONTA;DIVISAO;DEBITO;CREDITO
CONTA;DESCRICAO;;;;;;;;
11112; - BANCOS CONTA MOVIMENTO;;;;;;;;
CONTA - 11112010                       - BANCO BRADESCO;SALDO ANTERIOR:            3.426,73 D;;;;;;;;
;;;;;;;;;
10/02/21;1,1E+15;TAR PACOTE MENSAL BASICO II;52111003;1;;;;0;20,06586826
CONTA;DESCRICAO;;;;;;;;
11112; - BANCOS CONTA MOVIMENTO;;;;;;;;
CONTA - 11112011                       - BANCO ITAU  AG. 8499 CC. 247909;SALDO ANTERIOR:           50.319,26 D;;;;;;;;
;;;;;;;;;
08/02/21;1,1E+15;PGTO NF 000285700 PREFEITURA DO ESTADO;;1;;;;0;1719,734132
08/02/21;1,1E+15;PGTO NF 000000001 NORTON LAGOA 7031081;;1;;;;0;574,8502994
08/02/21;1,1E+15;007 RESGATE CDB;;1;;;;10203,89102;0
;;;;;;;;;
09/02/21;1,1E+15;PGTO NF 010868570 CERTISIGN CERTIFICAD;;1;;;;0;17,24550898
09/02/21;1,1E+15;REND PAGO APLIC AUT MAIS;52112006;1;;;;0,001197605;0
09/02/21;1,1E+15;-COMIS FIANCA 0100921770;52111003;1;;;;0;388,6826347
;;;;;;;;;
10/02/21;1,1E+15;PGTO. NF  000031281 - G4S INTERATIVA SER;;1;;;;0;533,7281437
10/02/21;;VICE LTDA;;;;;;;
10/02/21;1,1E+15;PGTO. NF  000031282 - G4S INTERATIVA SER;;1;;;;0;2178,409581
10/02/21;;VICE LTDA;;;;;;;
10/02/21;1,1E+15;PGTO. NF  000152731 - CONFORLAB ENGENHAR;;1;;;;0;97,72934132
10/02/21;;IA AMBIENTAL EIRELI;;;;;;;
10/02/21;1,1E+15;PGTO. NF  000152732 - CONFORLAB ENGENHAR;;1;;;;0;130,788024
10/02/21;;IA AMBIENTAL EIRELI;;;;;;;
10/02/21;1,1E+15;PGTO. BOL 000284264 - WHIRLPOOL S.A;;1;;;;0;65,36526946
10/02/21;1,1E+15;PGTO. BOL 000285305 - WHIRLPOOL S.A;;1;;;;0;138,5137725
10/02/21;1,1E+15;PGTO. NF  000170241 - SCANSOURCE BRASIL;;1;;;;0;332,3353293
